file_offset,va,has_100_near,has_50_near,has_10_near,has_div_near,has_cmp_near,before_hex,after_hex
893604,0x4da2a4,0,0,0,0,1,55 b8 52 8d 4d c0 e8 91 70 00 00 eb ac c7 45 d8 00 00 00 00 8b 45 94 83 b8 e8 94 01 00 03 7d 1a,ff 15 48 f3 52 00 8b 4d 94 be 04 00 00 00 2b b1 e8 94 01 00 99 f7 fe 89 55 d8 68 a8 00 00 00 6a 00 8b 55 94 81 c2 ec 94 01 00 52 e8 2e 1b 05 00 83 c4 0c c7 45 d4 00 00 00 00 c7 45 e0 00 00 00 00 eb 09 8b 45 e0 83 c0 01 89 45 e0 83 7d e0 03 0f 8d 0f 07 00 00 8b 4d e0 3b 4d d8 7c 15 8b 55
893989,0x4da425,0,0,0,1,0,e0 6b c0 1c 8b 4d e0 d1 e1 6b c9 1c 8b 55 94 8b 75 94 8b 84 06 f0 94 01 00 89 84 0a f4 94 01 00,ff 15 48 f3 52 00 99 b9 09 00 00 00 f7 f9 8b c2 99 b9 03 00 00 00 f7 f9 89 45 90 db 45 90 d8 05 c4 fb 52 00 8b 55 e0 d1 e2 6b d2 1c 8b 45 94 d9 9c 10 f8 94 01 00 6a 00 6a 00 8d 4d ac 51 6a 00 8b 55 e0 d1 e2 6b d2 1c 8b 45 94 8b 8c 10 ec 94 01 00 8b 55 e0 d1 e2 6b d2 1c 8b 45 94 8b 94 10
894938,0x4da7da,0,0,0,1,0,c9 1c 8b 55 e0 8d 44 12 01 6b c0 1c 8b 55 94 8b 75 94 8b 8c 0e f0 94 01 00 89 8c 02 f4 94 01 00,ff 15 48 f3 52 00 99 b9 09 00 00 00 f7 f9 8b c2 99 b9 03 00 00 00 f7 f9 89 45 8c db 45 8c d8 05 c4 fb 52 00 8b 55 e0 d1 e2 6b d2 1c 8b 45 94 d9 9c 10 f8 94 01 00 ff 15 48 f3 52 00 99 b9 09 00 00 00 f7 f9 8b c2 99 b9 03 00 00 00 f7 f9 89 45 88 db 45 88 d8 05 c4 fb 52 00 8b 55 e0 8d 44 12
894992,0x4da810,0,0,0,1,0,f7 f9 89 45 8c db 45 8c d8 05 c4 fb 52 00 8b 55 e0 d1 e2 6b d2 1c 8b 45 94 d9 9c 10 f8 94 01 00,ff 15 48 f3 52 00 99 b9 09 00 00 00 f7 f9 8b c2 99 b9 03 00 00 00 f7 f9 89 45 88 db 45 88 d8 05 c4 fb 52 00 8b 55 e0 8d 44 12 01 6b c0 1c 8b 4d 94 d9 9c 01 f8 94 01 00 6a 00 6a 00 8d 55 9c 52 6a 00 8b 45 e0 d1 e0 6b c0 1c 8b 4d 94 8b 94 01 ec 94 01 00 8b 45 e0 d1 e0 6b c0 1c 8b 4d 94 8b
910469,0x4de485,1,0,0,1,0,00 00 c8 00 00 00 0f 8c 07 02 00 00 8b 95 50 fd ff ff 8b 82 04 0d 00 00 2d c8 00 00 00 89 45 c8,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 89 55 c4 8b 55 c8 89 95 40 fd ff ff 8b 85 40 fd ff ff 83 e8 24 89 85 40 fd ff ff 83 bd 40 fd ff ff 0b 0f 87 b8 01 00 00 8b 8d 40 fd ff ff ff 24 8d 38 11 4e 00 8b 55 c8 c1 e2 06 83 ba 9c 23 54 00 03 75 64 c7 45 e8 00 00 00 00 eb 09 8b 45 e8 83 c0
911991,0x4dea77,1,0,0,1,0,50 fd ff ff 8b 8c 88 a0 01 00 00 8b 92 a4 23 54 00 3b 91 a8 00 00 00 7d 07 c7 45 bc 14 00 00 00,ff 15 48 f3 52 00 99 b9 64 00 00 00 f7 f9 3b 55 bc 7d 6c 6a 01 6a 00 6a 05 8b 95 50 fd ff ff 8b 82 ac 13 00 00 8b 8d 50 fd ff ff 8b 8c 81 a0 01 00 00 e8 e1 ac 02 00 8b 95 50 fd ff ff 8b 82 ac 13 00 00 8b 8d 50 fd ff ff 8b 94 81 a0 01 00 00 c7 82 a4 00 00 00 00 00 00 00 8b 85 50 fd ff ff
916396,0x4dfbac,0,0,0,1,0,7d a4 01 0f 8d 83 04 00 00 8b 4d a4 8b 95 50 fd ff ff 83 bc 8a ac 01 00 00 00 0f 84 67 04 00 00,ff 15 48 f3 52 00 8b 4d a4 8b 95 50 fd ff ff 8b 8c 8a ac 01 00 00 8b 89 bc 01 00 00 83 c1 01 99 f7 f9 89 95 84 fd ff ff c7 85 80 fd ff ff 00 00 00 00 eb 0f 8b 95 80 fd ff ff 83 c2 01 89 95 80 fd ff ff 8b 45 a4 8b 8d 50 fd ff ff 8b 94 81 ac 01 00 00 8b 85 80 fd ff ff 3b 82 bc 01 00 00 7d
916558,0x4dfc4e,0,0,0,1,0,95 80 fd ff ff 83 c2 01 89 95 80 fd ff ff 8b 85 80 fd ff ff 3b 85 84 fd ff ff 0f 8d 89 03 00 00,ff 15 48 f3 52 00 8b f0 8d 8d a0 fe ff ff e8 2f 16 00 00 8b c8 8b c6 99 f7 f9 89 95 88 fd ff ff 8b 95 88 fd ff ff 52 8d 8d a0 fe ff ff e8 50 16 00 00 89 85 dc fd ff ff 6a 01 8b 85 88 fd ff ff 50 8d 8d a0 fe ff ff e8 86 16 00 00 8b 8d dc fd ff ff d1 e1 89 8d dc fd ff ff 8b 55 a4 8b 85 50
970824,0x4ed048,1,0,0,1,0,ff 8b 94 90 ac 00 00 00 8b 81 94 00 00 00 03 82 94 00 00 00 8b 8d 40 fe ff ff 89 81 80 03 00 00,ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 64 fe ff ff ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 60 fe ff ff 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 64 fe ff ff 99 b9 64 00 00 00 f7 f9 8b c8 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 60 fe ff ff 99 be 64 00 00 00 f7 fe
970844,0x4ed05c,1,0,0,1,0,8b 8d 40 fe ff ff 89 81 80 03 00 00 ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 64 fe ff ff,ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 60 fe ff ff 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 64 fe ff ff 99 b9 64 00 00 00 f7 f9 8b c8 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 60 fe ff ff 99 be 64 00 00 00 f7 fe 2b c8 8b 85 40 fe ff ff 8b 90 80 03 00 00 03 d1 8b 85 40 fe
971369,0x4ed269,1,0,0,1,0,ff 8b 84 81 ac 00 00 00 8b 8a 94 00 00 00 03 88 94 00 00 00 8b 95 40 fe ff ff 89 8a 80 03 00 00,ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 5c fe ff ff ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 58 fe ff ff 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 5c fe ff ff 99 b9 64 00 00 00 f7 f9 8b c8 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 58 fe ff ff 99 be 64 00 00 00 f7 fe
971389,0x4ed27d,1,0,0,1,0,8b 95 40 fe ff ff 89 8a 80 03 00 00 ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 5c fe ff ff,ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 89 95 58 fe ff ff 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 5c fe ff ff 99 b9 64 00 00 00 f7 f9 8b c8 8b 95 40 fe ff ff 8b 82 80 03 00 00 0f af 85 58 fe ff ff 99 be 64 00 00 00 f7 fe 2b c8 8b 85 40 fe ff ff 8b 90 80 03 00 00 03 d1 8b 85 40 fe
985179,0x4f085b,0,0,0,1,0,dc fe ff ff 8b 91 b0 13 00 00 8b 85 dc fe ff ff 8b 8c 90 b4 13 00 00 51 e8 a2 ae f6 ff 83 c4 14,ff 15 48 f3 52 00 99 b9 09 00 00 00 f7 f9 52 8b 95 dc fe ff ff 8b 82 b0 13 00 00 8b 8d dc fe ff ff 8b 94 81 b4 13 00 00 52 e8 c2 ac f6 ff 83 c4 08 8b 85 dc fe ff ff 8b 88 b0 13 00 00 83 c1 01 8b 95 dc fe ff ff 89 8a b0 13 00 00 6a 06 68 a0 42 55 00 8d 45 b4 50 ff 15 ac f3 52 00 83 c4 0c
985511,0x4f09a7,0,0,0,0,0,dc fe ff ff 8b 91 b0 13 00 00 8b 85 dc fe ff ff 8b 8c 90 b4 13 00 00 51 e8 56 ad f6 ff 83 c4 14,ff 15 48 f3 52 00 25 07 00 00 80 79 05 48 83 c8 f8 40 50 8b 95 dc fe ff ff 8b 82 b0 13 00 00 8b 8d dc fe ff ff 8b 94 81 b4 13 00 00 52 e8 72 ab f6 ff 83 c4 08 8b 85 dc fe ff ff 8b 88 b0 13 00 00 83 c1 01 8b 95 dc fe ff ff 89 8a b0 13 00 00 8b 45 e4 89 85 e8 fe ff ff 8b 8d e8 fe ff ff 51
