relative_path,name,extension,size,first16_hex,ascii_ratio,entropy,u16_small_count_first512,u16_small_mode_first512,u16_first32
tlk\SA01.tkb,SA01.tkb,.tkb,7944,07 00 00 00 04 00 00 00 03 00 00 00 01 00 00 00,0.1303,4.4523,132,0,7 0 4 0 3 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 59 0 24 0 3 0 1 0 1 0
tlk\SA02.tkb,SA02.tkb,.tkb,7282,06 00 00 00 08 00 00 00 03 00 00 00 01 00 00 00,0.1298,4.3663,104,0,6 0 8 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 75 0 24 0 6 0 1 0 1 0
tlk\SA03.tkb,SA03.tkb,.tkb,10720,12 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.1346,4.5845,106,0,18 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 71 0 22 0 4 0 1 0 0 0
tlk\SA04.tkb,SA04.tkb,.tkb,242,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.0909,3.6739,70,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 63 0 20 0 4 0 1 0 0 0
tlk\SA05.tkb,SA05.tkb,.tkb,218,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.0688,3.2438,70,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 39 0 22 0 2 0 1 0 0 0
tlk\SA06.tkb,SA06.tkb,.tkb,264,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.1023,4.0724,67,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 84 0 28 0 3 0 1 0 0 0
tlk\SA07.tkb,SA07.tkb,.tkb,251,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.0837,3.8704,63,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 72 0 24 0 3 0 1 0 0 0
tlk\SA08.tkb,SA08.tkb,.tkb,2040,02 00 00 00 01 00 00 00 01 00 00 00 03 00 00 00,0.15,4.5916,94,0,2 0 1 0 1 0 3 0 1 0 0 0 1 0 11 0 7 0 0 0 1 0 0 0 0 0 1 0 62 0 22 0
tlk\SA09.tkb,SA09.tkb,.tkb,6109,0a 00 00 00 0b 00 00 00 03 00 00 00 01 00 00 00,0.1298,4.4584,146,0,10 0 11 0 3 0 1 0 1 0 0 0 1 0 11 0 7 0 1 0 1 0 0 0 0 0 1 0 35 0 20 0
tlk\SA10.tkb,SA10.tkb,.tkb,250,01 00 00 00 0d 00 00 00 03 00 00 00 02 00 00 00,0.12,3.4133,76,0,1 0 13 0 3 0 2 0 1 0 0 0 1 0 11 0 12 0 1 0 1 0 0 0 0 0 1 0 37 0 18 0
tlk\SA11.tkb,SA11.tkb,.tkb,4,00 00 00 00,0.0,-0.0,2,0,0 0
tlk\SA12.tkb,SA12.tkb,.tkb,2453,03 00 00 00 08 00 00 00 02 00 00 00 02 00 00 00,0.1239,4.1702,145,0,3 0 8 0 2 0 2 0 1 0 0 0 1 0 14 0 9 0 0 0 9 0 0 0 0 0 1 0 32 0 32 0
tlk\SA13.tkb,SA13.tkb,.tkb,528,01 00 00 00 01 00 00 00 01 00 00 00 02 00 00 00,0.1837,5.1061,77,0,1 0 1 0 1 0 2 0 1 0 0 0 1 0 12 0 0 0 0 0 1 0 0 0 0 0 1 0 273 0 30 0
tlk\SA14.tkb,SA14.tkb,.tkb,566,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.1643,4.8557,95,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 4 0 0 0 0 0 1 0 74 0 28 0 3 0 1 0 0 0
tlk\SA15.tkb,SA15.tkb,.tkb,198,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.0707,3.0911,60,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 26 0 26 0 1 0 1 0 0 0
tlk\SA16.tkb,SA16.tkb,.tkb,222,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.0811,3.3265,70,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 43 0 22 0 2 0 1 0 0 0
tlk\SA20.tkb,SA20.tkb,.tkb,2351,01 00 00 00 0b 00 00 00 02 00 00 00 01 00 00 00,0.1425,4.7089,119,0,1 0 11 0 2 0 1 0 0 0 0 0 0 0 20 0 0 0 0 0 1 0 45 0 24 0 2 0 1 0 0 0
tlk\SB01.tkb,SB01.tkb,.tkb,1018,05 00 00 00 1f 00 00 00 03 00 00 00 01 00 00 00,0.1198,3.9491,123,0,5 0 31 0 3 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 70 0 28 0 3 0 1 0 1 0
tlk\SB02.tkb,SB02.tkb,.tkb,751,04 00 00 00 27 00 00 00 03 00 00 00 01 00 00 00,0.1465,4.1262,134,0,4 0 39 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 56 0 20 0 3 0 1 0 1 0
tlk\SB03.tkb,SB03.tkb,.tkb,3445,07 00 00 00 24 00 00 00 03 00 00 00 01 00 00 00,0.126,4.2369,132,0,7 0 36 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 35 0 18 0 2 0 1 0 1 0
tlk\SB04.tkb,SB04.tkb,.tkb,4127,04 00 00 00 2a 00 00 00 03 00 00 00 01 00 00 00,0.1422,4.3581,133,0,4 0 42 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 95 0 24 0 4 0 1 0 1 0
tlk\SB05.tkb,SB05.tkb,.tkb,4,00 00 00 00,0.0,-0.0,2,0,0 0
tlk\SB06.tkb,SB06.tkb,.tkb,2069,03 00 00 00 1c 00 00 00 02 00 00 00 01 00 00 00,0.1817,5.2013,57,0,3 0 28 0 2 0 1 0 1 0 0 0 0 0 3 0 0 0 0 0 1 0 30 0 30 0 1 0 1 0 0 0
tlk\SB07.tkb,SB07.tkb,.tkb,4,00 00 00 00,0.0,-0.0,2,0,0 0
tlk\SB09.tkb,SB09.tkb,.tkb,4,00 00 00 00,0.0,-0.0,2,0,0 0
tlk\SB10.tkb,SB10.tkb,.tkb,134,01 00 00 00 01 00 00 00 01 00 00 00 01 00 00 00,0.1642,2.2798,39,0,1 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 41 0 20 0 2 0 1 0 0 0
tlk\SB11.tkb,SB11.tkb,.tkb,4331,02 00 00 00 1d 00 00 00 02 00 00 00 01 00 00 00,0.1122,4.0562,94,0,2 0 29 0 2 0 1 0 1 0 0 0 0 0 23 0 0 0 0 0 1 0 72 0 28 0 3 0 2 0 0 0
tlk\SB12.tkb,SB12.tkb,.tkb,5291,0a 00 00 00 21 00 00 00 03 00 00 00 01 00 00 00,0.1092,4.0057,111,0,10 0 33 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 99 0 24 0 4 0 1 0 1 0
tlk\SB13.tkb,SB13.tkb,.tkb,4,00 00 00 00,0.0,-0.0,2,0,0 0
tlk\SC01.tkb,SC01.tkb,.tkb,3972,02 00 00 00 2a 00 00 00 02 00 00 00 01 00 00 00,0.1176,3.9857,143,0,2 0 42 0 2 0 1 0 1 0 0 0 0 0 31 0 0 0 0 0 1 0 35 0 26 0 2 0 1 0 0 0
tlk\SD01.tkb,SD01.tkb,.tkb,9443,0b 00 00 00 3f 00 00 00 03 00 00 00 01 00 00 00,0.1348,4.3485,106,0,11 0 63 0 3 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 89 0 24 0 4 0 1 0 1 0
